Loan_ID,Gender,age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,reason,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,25,No,0,Graduate,No,5849,0,,car,360,1,Urban,Y
LP001003,Male,25,Yes,1,Graduate,No,4583,1508,128,car,360,1,Rural,N
LP001005,Male,25,Yes,0,Graduate,Yes,3000,0,66,car,360,1,Urban,Y
LP001006,Male,25,Yes,0,Not Graduate,No,2583,2358,120,car,360,1,Urban,Y
LP001008,Male,25,No,0,Graduate,No,6000,0,141,car,360,1,Urban,Y
LP001011,Male,25,Yes,2,Graduate,Yes,5417,4196,267,car,360,1,Urban,Y
LP001013,Male,25,Yes,0,Not Graduate,No,2333,1516,95,car,360,1,Urban,Y
LP001014,Male,25,Yes,3+,Graduate,No,3036,2504,158,car,360,0,Semiurban,N
LP001018,Male,25,Yes,2,Graduate,No,4006,1526,168,car,360,1,Urban,Y
LP001020,Male,25,Yes,1,Graduate,No,12841,10968,349,car,360,1,Semiurban,N
LP001024,Male,25,Yes,2,Graduate,No,3200,700,70,car,360,1,Urban,Y
LP001027,Male,25,Yes,2,Graduate,,2500,1840,109,car,360,1,Urban,Y
LP001028,Male,25,Yes,2,Graduate,No,3073,8106,200,car,360,1,Urban,Y
LP001029,Male,25,No,0,Graduate,No,1853,2840,114,car,360,1,Rural,N
LP001030,Male,25,Yes,2,Graduate,No,1299,1086,17,car,120,1,Urban,Y
LP001032,Male,25,No,0,Graduate,No,4950,0,125,car,360,1,Urban,Y
LP001034,Male,25,No,1,Not Graduate,No,3596,0,100,car,240,,Urban,Y
LP001036,Female,25,No,0,Graduate,No,3510,0,76,car,360,0,Urban,N
LP001038,Male,25,Yes,0,Not Graduate,No,4887,0,133,car,360,1,Rural,N
LP001041,Male,35,Yes,0,Graduate,,2600,3500,115,car,,1,Urban,Y
LP001043,Male,35,Yes,0,Not Graduate,No,7660,0,104,car,360,0,Urban,N
LP001046,Male,35,Yes,1,Graduate,No,5955,5625,315,car,360,1,Urban,Y
LP001047,Male,35,Yes,0,Not Graduate,No,2600,1911,116,car,360,0,Semiurban,N
LP001050,,35,Yes,2,Not Graduate,No,3365,1917,112,car,360,0,Rural,N
LP001052,Male,35,Yes,1,Graduate,,3717,2925,151,car,360,,Semiurban,N
LP001066,Male,35,Yes,0,Graduate,Yes,9560,0,191,car,360,1,Semiurban,Y
LP001068,Male,35,Yes,0,Graduate,No,2799,2253,122,car,360,1,Semiurban,Y
LP001073,Male,35,Yes,2,Not Graduate,No,4226,1040,110,car,360,1,Urban,Y
LP001086,Male,35,No,0,Not Graduate,No,1442,0,35,car,360,1,Urban,N
LP001087,Female,35,No,2,Graduate,,3750,2083,120,car,360,1,Semiurban,Y
LP001091,Male,35,Yes,1,Graduate,,4166,3369,201,car,360,,Urban,N
LP001095,Male,35,No,0,Graduate,No,3167,0,74,car,360,1,Urban,N
LP001097,Male,35,No,1,Graduate,Yes,4692,0,106,car,360,1,Rural,N
LP001098,Male,35,Yes,0,Graduate,No,3500,1667,114,car,360,1,Semiurban,Y
LP001100,Male,35,No,3+,Graduate,No,12500,3000,320,car,360,1,Rural,N
LP001106,Male,35,Yes,0,Graduate,No,2275,2067,,car,360,1,Urban,Y
LP001109,Male,35,Yes,0,Graduate,No,1828,1330,100,car,,0,Urban,N
LP001112,Female,35,Yes,0,Graduate,No,3667,1459,144,car,360,1,Semiurban,Y
LP001114,Male,35,No,0,Graduate,No,4166,7210,184,car,360,1,Urban,Y
LP001116,Male,35,No,0,Not Graduate,No,3748,1668,110,car,360,1,Semiurban,Y
LP001119,Male,35,No,0,Graduate,No,3600,0,80,car,360,1,Urban,N
LP001120,Male,35,No,0,Graduate,No,1800,1213,47,car,360,1,Urban,Y
LP001123,Male,35,Yes,0,Graduate,No,2400,0,75,car,360,,Urban,Y
LP001131,Male,35,Yes,0,Graduate,No,3941,2336,134,car,360,1,Semiurban,Y
LP001136,Male,35,Yes,0,Not Graduate,Yes,4695,0,96,car,,1,Urban,Y
LP001137,Female,35,No,0,Graduate,No,3410,0,88,car,,1,Urban,Y
LP001138,Male,35,Yes,1,Graduate,No,5649,0,44,travel,360,1,Urban,Y
LP001144,Male,35,Yes,0,Graduate,No,5821,0,144,travel,360,1,Urban,Y
LP001146,Female,35,Yes,0,Graduate,No,2645,3440,120,travel,360,0,Urban,N
LP001151,Female,35,No,0,Graduate,No,4000,2275,144,travel,360,1,Semiurban,Y
LP001155,Female,35,Yes,0,Not Graduate,No,1928,1644,100,travel,360,1,Semiurban,Y
LP001157,Female,35,No,0,Graduate,No,3086,0,120,travel,360,1,Semiurban,Y
LP001164,Female,35,No,0,Graduate,No,4230,0,112,travel,360,1,Semiurban,N
LP001179,Male,35,Yes,2,Graduate,No,4616,0,134,travel,360,1,Urban,N
LP001186,Female,35,Yes,1,Graduate,Yes,11500,0,286,travel,360,0,Urban,N
LP001194,Male,45,Yes,2,Graduate,No,2708,1167,97,travel,360,1,Semiurban,Y
LP001195,Male,45,Yes,0,Graduate,No,2132,1591,96,travel,360,1,Semiurban,Y
LP001197,Male,45,Yes,0,Graduate,No,3366,2200,135,travel,360,1,Rural,N
LP001198,Male,45,Yes,1,Graduate,No,8080,2250,180,travel,360,1,Urban,Y
LP001199,Male,45,Yes,2,Not Graduate,No,3357,2859,144,travel,360,1,Urban,Y
LP001205,Male,45,Yes,0,Graduate,No,2500,3796,120,travel,360,1,Urban,Y
LP001206,Male,45,Yes,3+,Graduate,No,3029,0,99,travel,360,1,Urban,Y
LP001207,Male,45,Yes,0,Not Graduate,Yes,2609,3449,165,travel,180,0,Rural,N
LP001213,Male,45,Yes,1,Graduate,No,4945,0,,travel,360,0,Rural,N
LP001222,Female,45,No,0,Graduate,No,4166,0,116,travel,360,0,Semiurban,N
LP001225,Male,45,Yes,0,Graduate,No,5726,4595,258,travel,360,1,Semiurban,N
LP001228,Male,45,No,0,Not Graduate,No,3200,2254,126,travel,180,0,Urban,N
LP001233,Male,45,Yes,1,Graduate,No,10750,0,312,travel,360,1,Urban,Y
LP001238,Male,45,Yes,3+,Not Graduate,Yes,7100,0,125,travel,60,1,Urban,Y
LP001241,Female,45,No,0,Graduate,No,4300,0,136,travel,360,0,Semiurban,N
LP001243,Male,45,Yes,0,Graduate,No,3208,3066,172,travel,360,1,Urban,Y
LP001245,Male,45,Yes,2,Not Graduate,Yes,1875,1875,97,travel,360,1,Semiurban,Y
LP001248,Male,45,No,0,Graduate,No,3500,0,81,travel,300,1,Semiurban,Y
LP001250,Male,45,Yes,3+,Not Graduate,No,4755,0,95,travel,,0,Semiurban,N
LP001253,Male,45,Yes,3+,Graduate,Yes,5266,1774,187,travel,360,1,Semiurban,Y
LP001255,Male,45,No,0,Graduate,No,3750,0,113,travel,480,1,Urban,N
LP001256,Male,45,No,0,Graduate,No,3750,4750,176,travel,360,1,Urban,N
LP001259,Male,45,Yes,1,Graduate,Yes,1000,3022,110,travel,360,1,Urban,N
LP001263,Male,45,Yes,3+,Graduate,No,3167,4000,180,travel,300,0,Semiurban,N
LP001264,Male,45,Yes,3+,Not Graduate,Yes,3333,2166,130,travel,360,,Semiurban,Y
LP001265,Female,45,No,0,Graduate,No,3846,0,111,travel,360,1,Semiurban,Y
LP001266,Male,45,Yes,1,Graduate,Yes,2395,0,,travel,360,1,Semiurban,Y
LP001267,Female,45,Yes,2,Graduate,No,1378,1881,167,travel,360,1,Urban,N
LP001273,Male,45,Yes,0,Graduate,No,6000,2250,265,travel,360,,Semiurban,N
LP001275,Male,45,Yes,1,Graduate,No,3988,0,50,travel,240,1,Urban,Y
LP001279,Male,45,No,0,Graduate,No,2366,2531,136,travel,360,1,Semiurban,Y
LP001280,Male,45,Yes,2,Not Graduate,No,3333,2000,99,travel,360,,Semiurban,Y
LP001282,Male,45,Yes,0,Graduate,No,2500,2118,104,travel,360,1,Semiurban,Y
LP001289,Male,45,No,0,Graduate,No,8566,0,210,travel,360,1,Urban,Y
LP001310,Male,45,Yes,0,Graduate,No,5695,4167,175,travel,360,1,Semiurban,Y
LP001316,Male,45,Yes,0,Graduate,No,2958,2900,131,travel,360,1,Semiurban,Y
LP001318,Male,45,Yes,2,Graduate,No,6250,5654,188,travel,180,1,Semiurban,Y
LP001319,Male,45,Yes,2,Not Graduate,No,3273,1820,81,travel,360,1,Urban,Y
LP001322,Male,45,No,0,Graduate,No,4133,0,122,travel,360,1,Semiurban,Y
LP001325,Male,45,No,0,Not Graduate,No,3620,0,25,travel,120,1,Semiurban,Y
LP001326,Male,45,No,0,Graduate,,6782,0,,travel,360,,Urban,N
LP001327,Female,45,Yes,0,Graduate,No,2484,2302,137,travel,360,1,Semiurban,Y
LP001333,Male,45,Yes,0,Graduate,No,1977,997,50,travel,360,1,Semiurban,Y
LP001334,Male,45,Yes,0,Not Graduate,No,4188,0,115,travel,180,1,Semiurban,Y
LP001343,Male,45,Yes,0,Graduate,No,1759,3541,131,travel,360,1,Semiurban,Y
LP001345,Male,45,Yes,2,Not Graduate,No,4288,3263,133,travel,180,1,Urban,Y
LP001349,Male,45,No,0,Graduate,No,4843,3806,151,travel,360,1,Semiurban,Y
LP001350,Male,45,Yes,,Graduate,No,13650,0,,travel,360,1,Urban,Y
LP001356,Male,45,Yes,0,Graduate,No,4652,3583,,travel,360,1,Semiurban,Y
LP001357,Male,45,,,Graduate,No,3816,754,160,travel,360,1,Urban,Y
LP001367,Male,45,Yes,1,Graduate,No,3052,1030,100,travel,360,1,Urban,Y
LP001369,Male,45,Yes,2,Graduate,No,11417,1126,225,travel,360,1,Urban,Y
LP001370,Male,45,No,0,Not Graduate,,7333,0,120,travel,360,1,Rural,N
LP001379,Male,45,Yes,2,Graduate,No,3800,3600,216,travel,360,0,Urban,N
LP001384,Male,45,Yes,3+,Not Graduate,No,2071,754,94,travel,480,1,Semiurban,Y
LP001385,Male,45,No,0,Graduate,No,5316,0,136,travel,360,1,Urban,Y
LP001387,Female,45,Yes,0,Graduate,,2929,2333,139,travel,360,1,Semiurban,Y
LP001391,Male,45,Yes,0,Not Graduate,No,3572,4114,152,travel,,0,Rural,N
LP001392,Female,45,No,1,Graduate,Yes,7451,0,,travel,360,1,Semiurban,Y
LP001398,Male,45,No,0,Graduate,,5050,0,118,travel,360,1,Semiurban,Y
LP001401,Male,45,Yes,1,Graduate,No,14583,0,185,travel,180,1,Rural,Y
LP001404,Female,45,Yes,0,Graduate,No,3167,2283,154,travel,360,1,Semiurban,Y
LP001405,Male,45,Yes,1,Graduate,No,2214,1398,85,travel,360,,Urban,Y
LP001421,Male,45,Yes,0,Graduate,No,5568,2142,175,travel,360,1,Rural,N
LP001422,Female,45,No,0,Graduate,No,10408,0,259,travel,360,1,Urban,Y
LP001426,Male,45,Yes,,Graduate,No,5667,2667,180,travel,360,1,Rural,Y
LP001430,Female,45,No,0,Graduate,No,4166,0,44,travel,360,1,Semiurban,Y
LP001431,Female,45,No,0,Graduate,No,2137,8980,137,travel,360,0,Semiurban,Y
LP001432,Male,45,Yes,2,Graduate,No,2957,0,81,travel,360,1,Semiurban,Y
LP001439,Male,45,Yes,0,Not Graduate,No,4300,2014,194,travel,360,1,Rural,Y
LP001443,Female,45,No,0,Graduate,No,3692,0,93,travel,360,,Rural,Y
LP001448,,45,Yes,3+,Graduate,No,23803,0,370,travel,360,1,Rural,Y
LP001449,Male,45,No,0,Graduate,No,3865,1640,,debt,360,1,Rural,Y
LP001451,Male,45,Yes,1,Graduate,Yes,10513,3850,160,debt,180,0,Urban,N
LP001465,Male,45,Yes,0,Graduate,No,6080,2569,182,debt,360,,Rural,N
LP001469,Male,45,No,0,Graduate,Yes,20166,0,650,debt,480,,Urban,Y
LP001473,Male,50,No,0,Graduate,No,2014,1929,74,debt,360,1,Urban,Y
LP001478,Male,50,No,0,Graduate,No,2718,0,70,debt,360,1,Semiurban,Y
LP001482,Male,50,Yes,0,Graduate,Yes,3459,0,25,debt,120,1,Semiurban,Y
LP001487,Male,50,No,0,Graduate,No,4895,0,102,debt,360,1,Semiurban,Y
LP001488,Male,50,Yes,3+,Graduate,No,4000,7750,290,debt,360,1,Semiurban,N
LP001489,Female,50,Yes,0,Graduate,No,4583,0,84,debt,360,1,Rural,N
LP001491,Male,50,Yes,2,Graduate,Yes,3316,3500,88,debt,360,1,Urban,Y
LP001492,Male,50,No,0,Graduate,No,14999,0,242,debt,360,0,Semiurban,N
LP001493,Male,50,Yes,2,Not Graduate,No,4200,1430,129,debt,360,1,Rural,N
LP001497,Male,50,Yes,2,Graduate,No,5042,2083,185,debt,360,1,Rural,N
LP001498,Male,50,No,0,Graduate,No,5417,0,168,debt,360,1,Urban,Y
LP001504,Male,50,No,0,Graduate,Yes,6950,0,175,debt,180,1,Semiurban,Y
LP001507,Male,50,Yes,0,Graduate,No,2698,2034,122,debt,360,1,Semiurban,Y
LP001508,Male,50,Yes,2,Graduate,No,11757,0,187,debt,180,1,Urban,Y
LP001514,Female,50,Yes,0,Graduate,No,2330,4486,100,debt,360,1,Semiurban,Y
LP001516,Female,50,Yes,2,Graduate,No,14866,0,70,debt,360,1,Urban,Y
LP001518,Male,50,Yes,1,Graduate,No,1538,1425,30,debt,360,1,Urban,Y
LP001519,Female,50,No,0,Graduate,No,10000,1666,225,debt,360,1,Rural,N
LP001520,Male,50,Yes,0,Graduate,No,4860,830,125,debt,360,1,Semiurban,Y
LP001528,Male,50,No,0,Graduate,No,6277,0,118,debt,360,0,Rural,N
LP001529,Male,50,Yes,0,Graduate,Yes,2577,3750,152,debt,360,1,Rural,Y
LP001531,Male,50,No,0,Graduate,No,9166,0,244,debt,360,1,Urban,N
LP001532,Male,50,Yes,2,Not Graduate,No,2281,0,113,debt,360,1,Rural,N
LP001535,Male,50,No,0,Graduate,No,3254,0,50,debt,360,1,Urban,Y
LP001536,Male,50,Yes,3+,Graduate,No,39999,0,600,debt,180,0,Semiurban,Y
LP001541,Male,50,Yes,1,Graduate,No,6000,0,160,debt,360,,Rural,Y
LP001543,Male,50,Yes,1,Graduate,No,9538,0,187,debt,360,1,Urban,Y
LP001546,Male,50,No,0,Graduate,,2980,2083,120,debt,360,1,Rural,Y
LP001552,Male,50,Yes,0,Graduate,No,4583,5625,255,debt,360,1,Semiurban,Y
LP001560,Male,50,Yes,0,Not Graduate,No,1863,1041,98,debt,360,1,Semiurban,Y
LP001562,Male,50,Yes,0,Graduate,No,7933,0,275,debt,360,1,Urban,N
LP001565,Male,50,Yes,1,Graduate,No,3089,1280,121,debt,360,0,Semiurban,N
LP001570,Male,50,Yes,2,Graduate,No,4167,1447,158,debt,360,1,Rural,Y
LP001572,Male,50,Yes,0,Graduate,No,9323,0,75,debt,180,1,Urban,Y
LP001574,Male,50,Yes,0,Graduate,No,3707,3166,182,debt,,1,Rural,Y
LP001577,Female,50,Yes,0,Graduate,No,4583,0,112,debt,360,1,Rural,N
LP001578,Male,50,Yes,0,Graduate,No,2439,3333,129,debt,360,1,Rural,Y
LP001579,Male,50,No,0,Graduate,No,2237,0,63,wedding,480,0,Semiurban,N
LP001580,Male,50,Yes,2,Graduate,No,8000,0,200,wedding,360,1,Semiurban,Y
LP001581,Male,50,Yes,0,Not Graduate,,1820,1769,95,wedding,360,1,Rural,Y
LP001585,,50,Yes,3+,Graduate,No,51763,0,700,wedding,300,1,Urban,Y
LP001586,Male,50,Yes,3+,Not Graduate,No,3522,0,81,wedding,180,1,Rural,N
LP001594,Male,50,Yes,0,Graduate,No,5708,5625,187,wedding,360,1,Semiurban,Y
LP001603,Male,50,Yes,0,Not Graduate,Yes,4344,736,87,wedding,360,1,Semiurban,N
LP001606,Male,50,Yes,0,Graduate,No,3497,1964,116,wedding,360,1,Rural,Y
LP001608,Male,50,Yes,2,Graduate,No,2045,1619,101,wedding,360,1,Rural,Y
LP001610,Male,50,Yes,3+,Graduate,No,5516,11300,495,wedding,360,0,Semiurban,N
LP001616,Male,50,Yes,1,Graduate,No,3750,0,116,wedding,360,1,Semiurban,Y
LP001630,Male,50,No,0,Not Graduate,No,2333,1451,102,wedding,480,0,Urban,N
LP001633,Male,50,Yes,1,Graduate,No,6400,7250,180,wedding,360,0,Urban,N
LP001634,Male,50,No,0,Graduate,No,1916,5063,67,wedding,360,,Rural,N
LP001636,Male,50,Yes,0,Graduate,No,4600,0,73,wedding,180,1,Semiurban,Y
LP001637,Male,50,Yes,1,Graduate,No,33846,0,260,wedding,360,1,Semiurban,N
LP001639,Female,50,Yes,0,Graduate,No,3625,0,108,wedding,360,1,Semiurban,Y
LP001640,Male,50,Yes,0,Graduate,Yes,39147,4750,120,wedding,360,1,Semiurban,Y
LP001641,Male,50,Yes,1,Graduate,Yes,2178,0,66,wedding,300,0,Rural,N
LP001643,Male,50,Yes,0,Graduate,No,2383,2138,58,wedding,360,,Rural,Y
LP001644,,50,Yes,0,Graduate,Yes,674,5296,168,wedding,360,1,Rural,Y
LP001647,Male,50,Yes,0,Graduate,No,9328,0,188,wedding,180,1,Rural,Y
LP001653,Male,50,No,0,Not Graduate,No,4885,0,48,wedding,360,1,Rural,Y
LP001656,Male,50,No,0,Graduate,No,12000,0,164,wedding,360,1,Semiurban,N
LP001657,Male,50,Yes,0,Not Graduate,No,6033,0,160,wedding,360,1,Urban,N
LP001658,Male,50,No,0,Graduate,No,3858,0,76,wedding,360,1,Semiurban,Y
LP001664,Male,50,No,0,Graduate,No,4191,0,120,wedding,360,1,Rural,Y
LP001665,Male,50,Yes,1,Graduate,No,3125,2583,170,wedding,360,1,Semiurban,N
LP001666,Male,50,No,0,Graduate,No,8333,3750,187,wedding,360,1,Rural,Y
LP001669,Female,50,No,0,Not Graduate,No,1907,2365,120,wedding,,1,Urban,Y
LP001671,Female,50,Yes,0,Graduate,No,3416,2816,113,wedding,360,,Semiurban,Y
LP001673,Male,50,No,0,Graduate,Yes,11000,0,83,wedding,360,1,Urban,N
LP001674,Male,50,Yes,1,Not Graduate,No,2600,2500,90,wedding,360,1,Semiurban,Y
LP001677,Male,50,No,2,Graduate,No,4923,0,166,wedding,360,0,Semiurban,Y
LP001682,Male,50,Yes,3+,Not Graduate,No,3992,0,,wedding,180,1,Urban,N
LP001688,Male,50,Yes,1,Not Graduate,No,3500,1083,135,wedding,360,1,Urban,Y
LP001691,Male,50,Yes,2,Not Graduate,No,3917,0,124,wedding,360,1,Semiurban,Y
LP001692,Female,50,No,0,Not Graduate,No,4408,0,120,wedding,360,1,Semiurban,Y
LP001693,Female,30,No,0,Graduate,No,3244,0,80,wedding,360,1,Urban,Y
LP001698,Male,30,No,0,Not Graduate,No,3975,2531,55,wedding,360,1,Rural,Y
